t,x,y,psi,v,a,w
0.02,50.00,15.00,1.5708,0.00,0.00,0.0000
0.04,50.00,15.00,1.5708,0.00,0.00,0.0000
0.06,50.00,15.00,1.5708,0.00,0.00,0.0000
0.08,50.00,15.00,1.5708,0.00,0.00,0.0000
0.10,50.00,15.00,1.5708,0.00,0.00,0.0000
0.12,50.00,15.00,1.5708,0.00,0.00,0.0000
0.14,50.00,15.00,1.5708,0.00,0.00,0.0000
0.16,50.00,15.00,1.5708,0.00,0.00,0.0000
0.18,50.00,15.00,1.5708,0.00,0.00,0.0000
0.20,50.00,15.00,1.5708,0.00,0.00,0.0000
0.22,50.00,15.00,1.5708,0.00,0.00,0.0000
0.24,50.00,15.00,1.5708,0.00,0.00,0.0000
0.26,50.00,15.00,1.5708,0.00,0.00,0.0000
0.28,50.00,15.00,1.5708,0.00,0.00,0.0000
0.30,50.00,15.00,1.5708,0.00,0.00,0.0000
0.32,50.00,15.00,1.5708,0.00,0.00,0.0000
0.34,50.00,15.00,1.5708,0.00,0.00,0.0000
0.36,50.00,15.00,1.5708,0.00,0.00,0.0000
0.38,50.00,15.00,1.5708,0.00,0.00,0.0000
0.40,50.00,15.00,1.5708,0.00,0.00,0.0000
0.42,50.00,15.00,1.5708,0.00,0.00,0.0000
0.44,50.00,15.00,1.5708,0.00,0.00,0.0000
0.46,50.00,15.00,1.5708,0.00,0.00,0.0000
0.48,50.00,15.00,1.5708,0.00,0.00,0.0000
0.50,50.00,15.00,1.5708,0.00,0.00,0.0000
0.52,50.00,15.00,1.5708,0.00,0.00,0.0000
0.54,50.00,15.00,1.5708,0.00,0.00,0.0000
0.56,50.00,15.00,1.5708,0.00,0.00,0.0000
0.58,50.00,15.00,1.5708,0.00,0.00,0.0000
0.60,50.00,15.00,1.5708,0.00,0.00,0.0000
0.62,50.00,15.00,1.5708,0.00,0.00,0.0000
0.64,50.00,15.00,1.5708,0.00,0.00,0.0000
0.66,50.00,15.00,1.5708,0.00,0.00,0.0000
0.68,50.00,15.00,1.5708,0.00,0.00,0.0000
0.70,50.00,15.00,1.5708,0.00,0.00,0.0000
0.72,50.00,15.00,1.5708,0.00,0.00,0.0000
0.74,50.00,15.00,1.5708,0.00,0.00,0.0000
0.76,50.00,15.00,1.5708,0.00,0.00,0.0000
0.78,50.00,15.00,1.5708,0.00,0.00,0.0000
0.80,50.00,15.00,1.5708,0.00,0.00,0.0000
0.82,50.00,15.00,1.5708,0.00,0.00,0.0000
0.84,50.00,15.00,1.5708,0.00,0.00,0.0000
0.86,50.00,15.00,1.5708,0.00,0.00,0.0000
0.88,50.00,15.00,1.5708,0.00,0.00,0.0000
0.90,50.00,15.00,1.5708,0.00,0.00,0.0000
0.92,50.00,15.00,1.5708,0.00,0.00,0.0000
0.94,50.00,15.00,1.5708,0.00,0.00,0.0000
0.96,50.00,15.00,1.5708,0.00,0.00,0.0000
0.98,50.00,15.00,1.5708,0.00,0.00,0.0000
1.00,50.00,15.00,1.5708,0.00,0.00,0.0000
1.02,50.00,15.00,1.5708,0.00,0.00,0.0000
1.04,50.00,15.00,1.5708,0.00,0.00,0.0000
1.06,50.00,15.00,1.5708,0.00,0.00,0.0000
1.08,50.00,15.00,1.5708,0.00,0.00,0.0000
1.10,50.00,15.00,1.5708,0.00,0.00,0.0000
1.12,50.00,15.00,1.5708,0.00,0.00,0.0000
1.14,50.00,15.00,1.5708,0.00,0.00,0.0000
1.16,50.00,15.00,1.5708,0.00,0.00,0.0000
1.18,50.00,15.00,1.5708,0.00,0.00,0.0000
1.20,50.00,15.00,1.5708,0.00,0.00,0.0000
1.22,50.00,15.00,1.5708,0.00,0.00,0.0000
1.24,50.00,15.00,1.5708,0.00,0.00,0.0000
1.26,50.00,15.00,1.5708,0.00,0.00,0.0000
1.28,50.00,15.00,1.5708,0.00,0.00,0.0000
1.30,50.00,15.00,1.5708,0.00,0.00,0.0000
1.32,50.00,15.00,1.5708,0.00,0.00,0.0000
1.34,50.00,15.00,1.5708,0.00,0.00,0.0000
1.36,50.00,15.00,1.5708,0.00,0.00,0.0000
1.38,50.00,15.00,1.5708,0.00,0.00,0.0000
1.40,50.00,15.00,1.5708,0.00,0.00,0.0000
1.42,50.00,15.00,1.5708,0.00,0.00,0.0000
1.44,50.00,15.00,1.5708,0.00,0.00,0.0000
1.46,50.00,15.00,1.5708,0.00,0.00,0.0000
1.48,50.00,15.00,1.5708,0.00,0.00,0.0000
1.50,50.00,15.00,1.5708,0.00,0.00,0.0000
1.52,50.00,15.00,1.5708,0.00,0.00,0.0000
1.54,50.00,15.00,1.5708,0.00,0.00,0.0000
1.56,50.00,15.00,1.5708,0.00,0.00,0.0000
1.58,50.00,15.00,1.5708,0.00,0.00,0.0000
1.60,50.00,15.00,1.5708,0.00,0.00,0.0000
1.62,50.00,15.00,1.5708,0.00,0.00,0.0000
